person_id,title,firm,location
51,SQL Server DBA,The Boeing Company,"Milford, OH"
51,SQL Server DBA,Dimensional Fund Advisors,"Austin, TX"
51,SQL Server DBA,"AWS, RDS",
52,"Sr. Oracle, PostgreSQL Database Administrator/ Database Security Engineer",Marsh & McLennan Companies,"Hoboken, NJ"
52,"Oracle, PostgreSQL Database Administrator",DirecTV,"El Segundo, CA"
53,Data Engineer,"UnitedHealth Group, MN","Woodbury, MN"
53,Oracle Database Administrator,SUBARU AUTOMOTIVE,"Lafayette, IN"
53,Oracle Database Administrator,MATERIAL IN MOTION (MIM),"Fairburn, GA"
54,Database Administrator (Oracle),Netlinks,"Madison, NJ"
54,Oracle Database Administrator,Afghan Wireless Communication Company (AWCC),Afghanistan
54,IT Officer,Brac Bank,Afghanistan
54,IT Technician,Future Tech,Afghanistan
55,Software Developer,The Parts House Acquisitions LLC,"Jacksonville, FL"
55,Software Developer,NETLINKS,"Kabul, AF"
55,Database Developer/ Administrator,Afghan Public Protection Force,Kabul
56,Web Developer,TOWN RESIDENTIAL,"New York, NY"
56,Database Administrator,TOWN RESIDENTIAL,"New York, NY"
56,Computer Specialist,SOUTH BRONX PREPARATORY,"Bronx, NY"
57,Principal Database Development Engineer,REI Systems,"Ashburn, VA"
57,Intern - IT Support,The Shams Group,
57,Database Analyst / Developer,"Center of Information Technology and Management - Dallas, TX",The University of Texas at Dallas
57,Microsoft SQL Server Database Administrator,Clover InfoTech Private Limited,
58,Business Analyst,Crown Castle,"Canonsburg, PA"
58,Database Administrator,RDX,"Pittsburgh, PA"
58,Junior Database Administrator,RDX,"Pittsburgh, PA"
59,SQL Database Administrator,SouthCoast Health,"Savannah, GA"
59,SQL Server DBA,ATC Healthcare Services,"Upper Marlboro, MD"
60,"Application, Database & Security Administrator",ORIENTAL BANK,"San Juan, PR"
60,Desktop Support Specialist,ORIENTAL BANK,"San Juan, PR"
61,SQL Database Administrator,MetLife,"Queens, NY"
61,SQL Database Administrator,African Development Foundation,"Washington, DC"
61,SQL Server DBA 3,Bank,"Cincinnati, OH"
62,Scrum Master,Connections Education LLC,"Columbia, MD"
62,Scrum Master,Xerox Corporation,"Rochester, NY"
62,Oracle Database Administrator,New York Times,"Manhattan, NY"
63,Oracle Database Administrator,FedEx Supply Chain,"Cranberry, PA"
63,Oracle Database Administrator (DBA),Natsoft corporation,"Somerset, NJ"
63,Senior Database Administrator,Sherwin-Williams,Kuala-Lumpur
63,Database Administrator,OSI consulting,"Hyderabad, Telangana"
63,Oracle Database Administrator,Y-brant Digital,"Hyderabad, Telangana"
